task_id,scenario,background_toy_index,upper_factors,mass_grid_MeV,output_directory,command,current,status
2021_1pct_x10__toy_0000,2021_1pct_x10,0,15|20|25,50:20:250,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p8_2021_functional_form_qualification_20260813/runs/rigid_length_scan/2021_1pct_x10/toy_0000,python3 run_rigid_length_scan.py run-task 2021_1pct_x10 0,False,missing_success
2021_1pct_x10__toy_0001,2021_1pct_x10,1,15|20|25,50:20:250,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p8_2021_functional_form_qualification_20260813/runs/rigid_length_scan/2021_1pct_x10/toy_0001,python3 run_rigid_length_scan.py run-task 2021_1pct_x10 1,False,missing_success
2021_1pct_x10__toy_0002,2021_1pct_x10,2,15|20|25,50:20:250,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p8_2021_functional_form_qualification_20260813/runs/rigid_length_scan/2021_1pct_x10/toy_0002,python3 run_rigid_length_scan.py run-task 2021_1pct_x10 2,False,missing_success
2021_1pct_x10__toy_0003,2021_1pct_x10,3,15|20|25,50:20:250,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p8_2021_functional_form_qualification_20260813/runs/rigid_length_scan/2021_1pct_x10/toy_0003,python3 run_rigid_length_scan.py run-task 2021_1pct_x10 3,False,missing_success
2021_1pct_x10__toy_0004,2021_1pct_x10,4,15|20|25,50:20:250,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p8_2021_functional_form_qualification_20260813/runs/rigid_length_scan/2021_1pct_x10/toy_0004,python3 run_rigid_length_scan.py run-task 2021_1pct_x10 4,False,missing_success
2021_1pct_x10__toy_0005,2021_1pct_x10,5,15|20|25,50:20:250,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p8_2021_functional_form_qualification_20260813/runs/rigid_length_scan/2021_1pct_x10/toy_0005,python3 run_rigid_length_scan.py run-task 2021_1pct_x10 5,False,missing_success
2021_1pct_x10__toy_0006,2021_1pct_x10,6,15|20|25,50:20:250,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p8_2021_functional_form_qualification_20260813/runs/rigid_length_scan/2021_1pct_x10/toy_0006,python3 run_rigid_length_scan.py run-task 2021_1pct_x10 6,False,missing_success
2021_1pct_x10__toy_0007,2021_1pct_x10,7,15|20|25,50:20:250,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p8_2021_functional_form_qualification_20260813/runs/rigid_length_scan/2021_1pct_x10/toy_0007,python3 run_rigid_length_scan.py run-task 2021_1pct_x10 7,False,missing_success
2021_1pct_x10__toy_0008,2021_1pct_x10,8,15|20|25,50:20:250,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p8_2021_functional_form_qualification_20260813/runs/rigid_length_scan/2021_1pct_x10/toy_0008,python3 run_rigid_length_scan.py run-task 2021_1pct_x10 8,False,missing_success
2021_1pct_x10__toy_0009,2021_1pct_x10,9,15|20|25,50:20:250,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p8_2021_functional_form_qualification_20260813/runs/rigid_length_scan/2021_1pct_x10/toy_0009,python3 run_rigid_length_scan.py run-task 2021_1pct_x10 9,False,missing_success
