schema_version,study_id,repair_round,repair_row_id,repair_attempt_id,variant,variant_order,warm_start,repair_reason,target_task_id,target_factor,truth_model,study_scenario,background_toy_index,mass_GeV,mass_MeV,target_config,target_config_sha256,nominal_kernel_constant_init,warm_start_source_factor,warm_start_source_attempt_path,warm_start_ls_opt,warm_start_const_opt,current_target_lml_at_plan,source_lml_at_plan,repair_base_seed,planned_optimizer_seed,optimizer_restarts,expected_limit_bands,interpolation_used,fit_code_commit,dry_run,execution_authorized,fit_launched
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230__salt_01,salt_01,1,False,lower_factor_optimizer_miss,scan__f15__gengamma__2021_1pct_x100__t0000,15,gengamma,2021_1pct_x100,0,0.23,230,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,1.0,,,,,1912.1174851028677,,3749523101,1830240564,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230__salt_02,salt_02,2,False,lower_factor_optimizer_miss,scan__f15__gengamma__2021_1pct_x100__t0000,15,gengamma,2021_1pct_x100,0,0.23,230,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,1.0,,,,,1912.1174851028677,,1923753145,206495599,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230__salt_03,salt_03,3,False,lower_factor_optimizer_miss,scan__f15__gengamma__2021_1pct_x100__t0000,15,gengamma,2021_1pct_x100,0,0.23,230,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,1.0,,,,,1912.1174851028677,,1538540212,4221601708,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230__warm,warm,4,True,lower_factor_optimizer_miss,scan__f15__gengamma__2021_1pct_x100__t0000,15,gengamma,2021_1pct_x100,0,0.23,230,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,1.0,20.0,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f20/gengamma/2021_1pct_x100/toy_0000/m230MeV/salt_01/attempt_001,0.3679576935989206,10413.060256945537,1912.1174851028677,1912.2399868619968,2198139558,3682626126,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190__salt_01,salt_01,1,False,higher_factor_optimizer_miss,scan__f15__sigpowexpq__2021_10pct_x10__t0001,15,sigpowexpq,2021_10pct_x10,1,0.19,190,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,1.0,,,,,1974.7783758459668,,4274520984,899259096,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190__salt_02,salt_02,2,False,higher_factor_optimizer_miss,scan__f15__sigpowexpq__2021_10pct_x10__t0001,15,sigpowexpq,2021_10pct_x10,1,0.19,190,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,1.0,,,,,1974.7783758459668,,783290178,3930017564,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190__salt_03,salt_03,3,False,higher_factor_optimizer_miss,scan__f15__sigpowexpq__2021_10pct_x10__t0001,15,sigpowexpq,2021_10pct_x10,1,0.19,190,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,1.0,,,,,1974.7783758459668,,948407433,2072744251,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190__warm,warm,4,True,higher_factor_optimizer_miss,scan__f15__sigpowexpq__2021_10pct_x10__t0001,15,sigpowexpq,2021_10pct_x10,1,0.19,190,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,1.0,12.0,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f12/sigpowexpq/2021_10pct_x10/toy_0001/m190MeV/salt_02/attempt_001,0.2924342164673419,41.52969780558812,1974.7783758459668,2002.1645230459003,1754205078,3918523265,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170__salt_01,salt_01,1,False,lower_factor_optimizer_miss,scan__f20__gengamma__2021_1pct_x100__t0001,20,gengamma,2021_1pct_x100,1,0.17,170,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,1.0,,,,,1940.2741524157,,211804824,3010927282,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170__salt_02,salt_02,2,False,lower_factor_optimizer_miss,scan__f20__gengamma__2021_1pct_x100__t0001,20,gengamma,2021_1pct_x100,1,0.17,170,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,1.0,,,,,1940.2741524157,,3559359609,185257217,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
