repair_round,repair_attempt_id,repair_row_id,variant,warm_start,target_factor,truth_model,study_scenario,background_toy_index,mass_GeV,optimizer_seed,optimizer_restarts,attempt_path,result_path,result_sha256,lml,ls_opt,ls_init,const_opt,kernel_constant_init,kernel_ls_init,actual_fit,interpolation_used
2,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230__salt_01,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230,salt_01,False,15,gengamma,2021_1pct_x100,0,0.23,1830240564,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/gengamma/2021_1pct_x100/toy_0000/m230MeV/salt_01/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/gengamma/2021_1pct_x100/toy_0000/m230MeV/salt_01/attempt_001/repair_row_enriched.csv,590521db34e7c21d3e7769d623f07ae448594c54e7c97ea1cf666aafc52a54a4,1912.2399735306903,0.3664177998272114,0.1058941681527014,9805.181789493538,1.0,0.1058941681527014,True,False
2,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230__salt_02,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230,salt_02,False,15,gengamma,2021_1pct_x100,0,0.23,206495599,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/gengamma/2021_1pct_x100/toy_0000/m230MeV/salt_02/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/gengamma/2021_1pct_x100/toy_0000/m230MeV/salt_02/attempt_001/repair_row_enriched.csv,34ff691a18ae45baae643d55a9c02ad1df384033aee4a9d546f05a61fd9671db,1912.236833196498,0.3667069562727215,0.1058941681527014,9906.481560667296,1.0,0.1058941681527014,True,False
2,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230__salt_03,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230,salt_03,False,15,gengamma,2021_1pct_x100,0,0.23,4221601708,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/gengamma/2021_1pct_x100/toy_0000/m230MeV/salt_03/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/gengamma/2021_1pct_x100/toy_0000/m230MeV/salt_03/attempt_001/repair_row_enriched.csv,f081965b4be13e72c18bcdc0be29501eabdb72109b0eadc4d07fea0a48ba5375,1912.240992025545,0.366457673540868,0.1058941681527014,9817.478760706455,1.0,0.1058941681527014,True,False
2,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230__warm,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230,warm,True,15,gengamma,2021_1pct_x100,0,0.23,3682626126,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/gengamma/2021_1pct_x100/toy_0000/m230MeV/warm/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/gengamma/2021_1pct_x100/toy_0000/m230MeV/warm/attempt_001/repair_row_enriched.csv,89d43cb96c1aac9a282e8a91e1b948e150a89890ab3e1866edd7dfedfe6ba9c8,1912.2399868619968,0.3679576935989206,0.1058941681527014,10413.060256945537,10413.060256945537,0.3679576935989206,True,False
2,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190__salt_01,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190,salt_01,False,15,sigpowexpq,2021_10pct_x10,1,0.19,899259096,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/sigpowexpq/2021_10pct_x10/toy_0001/m190MeV/salt_01/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/sigpowexpq/2021_10pct_x10/toy_0001/m190MeV/salt_01/attempt_001/repair_row_enriched.csv,0580d83a2d251e6fe20ae9429d0cbc0af26249a746e68fc37fd8a4c2e0dae0bc,2020.2668289524584,0.3655427705841774,0.0989894502254296,55.81579120190942,1.0,0.0989894502254296,True,False
2,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190__salt_02,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190,salt_02,False,15,sigpowexpq,2021_10pct_x10,1,0.19,3930017564,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/sigpowexpq/2021_10pct_x10/toy_0001/m190MeV/salt_02/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/sigpowexpq/2021_10pct_x10/toy_0001/m190MeV/salt_02/attempt_001/repair_row_enriched.csv,0719dce87bca0fe390f74afcf1147a211c14e3c0ce75d95456f39fce744373a7,2020.2668266368569,0.3655427705841774,0.0989894502254296,55.83390868451918,1.0,0.0989894502254296,True,False
2,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190__salt_03,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190,salt_03,False,15,sigpowexpq,2021_10pct_x10,1,0.19,2072744251,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/sigpowexpq/2021_10pct_x10/toy_0001/m190MeV/salt_03/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/sigpowexpq/2021_10pct_x10/toy_0001/m190MeV/salt_03/attempt_001/repair_row_enriched.csv,9bee1d87585abfb704400a22bb7b923c38e81d9dde89278645092a2917bfa766,2020.266853895791,0.3655427705841774,0.0989894502254296,55.811570342773386,1.0,0.0989894502254296,True,False
2,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190__warm,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190,warm,True,15,sigpowexpq,2021_10pct_x10,1,0.19,3918523265,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/sigpowexpq/2021_10pct_x10/toy_0001/m190MeV/warm/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/sigpowexpq/2021_10pct_x10/toy_0001/m190MeV/warm/attempt_001/repair_row_enriched.csv,d96d290645c2816209dc93ec6398de3b8074659e5a0f5c495072532ac4db6f1d,2020.266832771205,0.3655427705841774,0.0989894502254296,55.78967014293997,41.52969780558812,0.2924342164673419,True,False
2,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170__salt_01,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170,salt_01,False,20,gengamma,2021_1pct_x100,1,0.17,3010927282,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f20/gengamma/2021_1pct_x100/toy_0001/m170MeV/salt_01/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f20/gengamma/2021_1pct_x100/toy_0001/m170MeV/salt_01/attempt_001/repair_row_enriched.csv,9f4c4004d8a21d627569fc7ff98e6a1e9894993d5e7d9782f502542120a71053,1940.2746628149612,0.3646624914872395,0.1116792004819376,10855.2358058125,1.0,0.1116792004819376,True,False
2,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170__salt_02,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170,salt_02,False,20,gengamma,2021_1pct_x100,1,0.17,185257217,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f20/gengamma/2021_1pct_x100/toy_0001/m170MeV/salt_02/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f20/gengamma/2021_1pct_x100/toy_0001/m170MeV/salt_02/attempt_001/repair_row_enriched.csv,7c0fc1630f0e8abffd34e976203172d01a67c45c38874a941f0fa56545015c94,1940.2727996280505,0.3651193431522987,0.1116792004819376,11126.267834781664,1.0,0.1116792004819376,True,False
2,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170__salt_03,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170,salt_03,False,20,gengamma,2021_1pct_x100,1,0.17,929153623,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f20/gengamma/2021_1pct_x100/toy_0001/m170MeV/salt_03/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f20/gengamma/2021_1pct_x100/toy_0001/m170MeV/salt_03/attempt_001/repair_row_enriched.csv,ca1ed6a7d1edb7a97d53c6ca9b8a7240f80d10ed30e13105acd2b6da62243241,1940.273714830368,0.3650593987727449,0.1116792004819376,11096.567062497084,1.0,0.1116792004819376,True,False
